	Species	Genes	Brucella abortus 2308	Brucella canis ATCC 23365	Brucella ceti TE10759-12	Brucella microti CCM 4915	Brucella suis 1330	mean ZH-Score
2492	5	5	WP_002964040.1	WP_006132506.1	WP_006174115.1	WP_004688288.1	WP_006190146.1	16075.057887999998
210	5	5	WP_002964178.1	WP_002964178.1	WP_006174226.1	WP_015799622.1	WP_002964178.1	15791.672255555555
1710	5	5	WP_002966839.1	WP_004689719.1	WP_006174265.1	WP_004689719.1	WP_004689719.1	15786.245695833335
2002	5	5	WP_002966791.1	WP_004690792.1	WP_006641926.1	WP_006155433.1	WP_004690792.1	15630.416852173912
1242	5	5	WP_002963627.1	WP_004683128.1	WP_004683128.1	WP_004683128.1	WP_004683128.1	15568.147628571429
168	5	5	WP_002964031.1	WP_002964031.1	WP_002964031.1	WP_002964031.1	WP_002964031.1	15424.0690875
735	5	5	WP_002966126.1	WP_002966126.1	WP_002966126.1	WP_002966126.1	WP_002966126.1	15265.898833333333
2867	5	5	WP_002966739.1	WP_004690710.1	WP_006641915.1	WP_004688180.1	WP_011068938.1	15228.63807727272
2487	5	5	WP_002964008.1	WP_006132503.1	WP_006174095.1	WP_015799589.1	WP_006190128.1	15098.840261538462
2010	5	5	WP_002964110.1	WP_004691859.1	WP_006174168.1	WP_002964110.1	WP_004690816.1	15082.56045882353
133	5	5	WP_002963919.1	WP_004691904.1	WP_002963919.1	WP_002963919.1	WP_002963919.1	15044.728907692308
2803	5	5	WP_002968608.1	WP_006133507.1	WP_006175132.1	WP_002968608.1	WP_006192257.1	15008.825172413792
581	5	5	WP_002965433.1	WP_002965433.1	WP_002965433.1	WP_012783840.1	WP_002965433.1	14897.05461904762
1987	5	5	WP_002963913.1	WP_004690739.1	WP_002963913.1	WP_002963913.1	WP_004690739.1	14841.475764285715
2181	5	5	WP_006077105.1	WP_004691893.1	WP_006161047.1	WP_015799594.1	WP_004691893.1	14805.769195833336
1737	5	5	WP_002966620.1	WP_004689913.1	WP_002966620.1	WP_002966620.1	WP_004689913.1	14676.484613043476
855	5	5	WP_002966619.1	WP_002966619.1	WP_006641687.1	WP_002966619.1	WP_002966619.1	14675.405521739127
2251	5	5	WP_002967177.1	WP_004692576.1	WP_006175854.1	WP_041594734.1	WP_004692576.1	14607.761258823528
2280	5	5	WP_002972123.1	WP_006133483.1	WP_005974992.1	WP_005974992.1	WP_005974992.1	14588.009725
270	5	5	WP_002964374.1	WP_002964374.1	WP_006174345.1	WP_002964374.1	WP_002964374.1	14400.157923076924
238	5	5	WP_002964297.1	WP_002964297.1	WP_002964297.1	WP_002964297.1	WP_002964297.1	14398.09497647059
1483	5	5	WP_002971797.1	WP_004687815.1	WP_006160434.1	WP_004687815.1	WP_004687815.1	14378.1182
2297	5	5	WP_002965669.1	WP_004687063.1	WP_023598589.1	WP_004687063.1	WP_006016519.1	14313.299284615383
2797	5	5	WP_002965657.1	WP_002965657.1	WP_002965657.1	WP_002965657.1	WP_006192233.1	14309.453366666667
700	5	5	WP_002965993.1	WP_002965993.1	WP_002965993.1	WP_002965993.1	WP_002965993.1	14253.245814285716
743	5	5	WP_002966142.1	WP_002966142.1	WP_002966142.1	WP_002966142.1	WP_002966142.1	14196.277540000005
2003	5	5	WP_002966792.1	WP_004690793.1	WP_006174117.1	WP_015799595.1	WP_004690793.1	14127.331381818181
1731	5	5	WP_002964669.1	WP_004689866.1	WP_004689866.1	WP_004689866.1	WP_004689866.1	14123.82346875
150	5	5	WP_002963982.1	WP_002963982.1	WP_002963982.1	WP_002963982.1	WP_002963982.1	13993.269475000001
1412	5	5	WP_002965910.1	WP_006253349.1	WP_004687193.1	WP_004687193.1	WP_004687193.1	13944.507183333337
1067	5	5	WP_002969445.1	WP_002969445.1	WP_002969445.1	WP_002969445.1	WP_002969445.1	13918.6592
914	5	5	WP_002967144.1	WP_002967144.1	WP_006175976.1	WP_002967144.1	WP_002967144.1	13794.92298181818
1098	5	5	WP_002970312.1	WP_002970312.1	WP_002970312.1	WP_002970312.1	WP_002970312.1	13713.99
519	5	5	WP_002965218.1	WP_002965218.1	WP_002965218.1	WP_002965218.1	WP_002965218.1	13713.99
486	5	5	WP_002965131.1	WP_002965131.1	WP_006641092.1	WP_002965131.1	WP_002965131.1	13713.99
483	5	5	WP_002965121.1	WP_002965121.1	WP_006173510.1	WP_015799779.1	WP_002965121.1	13615.704624999998
2243	5	5	WP_002969367.1	WP_004692442.1	WP_006175663.1	WP_004692442.1	WP_004692442.1	13613.385589473684
432	5	5	WP_002964956.1	WP_002964956.1	WP_002964956.1	WP_015799750.1	WP_002964956.1	13592.91390909091
984	5	5	WP_002964925.1	WP_002967948.1	WP_002967948.1	WP_002967948.1	WP_002967948.1	13578.6807
873	5	5	WP_002966688.1	WP_004691989.1	WP_006173738.1	WP_012783866.1	WP_002966688.1	13550.561586666669
1964	5	5	WP_002963775.1	WP_004690690.1	WP_006173952.1	WP_004688152.1	WP_004690690.1	13530.895345454546
1785	5	5	WP_002966228.1	WP_004690106.1	WP_002966228.1	WP_002966228.1	WP_004690106.1	13424.108292857143
2360	5	5	WP_002971479.1	WP_006132473.1	WP_002971479.1	WP_002971479.1	WP_006132473.1	13319.81215
2195	5	5	WP_002967440.1	WP_004691975.1	WP_004686588.1	WP_004686588.1	WP_004691975.1	13174.609934285716
1675	5	5	WP_002965363.1	WP_004689391.1	WP_006173632.1	WP_004689391.1	WP_004689391.1	13160.671772222222
249	5	5	WP_002964330.1	WP_002964330.1	WP_006174321.1	WP_002964330.1	WP_002964330.1	13099.25406521739
701	5	5	WP_002965994.1	WP_002965994.1	WP_002965994.1	WP_244395464.1	WP_002965994.1	13077.154941176472
1810	5	5	WP_002967292.1	WP_004690218.1	WP_004687269.1	WP_004687269.1	WP_004690218.1	13027.825715
104	5	5	WP_002963824.1	WP_002963824.1	WP_002963824.1	WP_002963824.1	WP_002963824.1	13011.867777272726
1247	5	5	WP_002969454.1	WP_004691948.1	WP_006173877.1	WP_004683244.1	WP_004683244.1	13004.415039999996
663	5	5	WP_002965778.1	WP_002965778.1	WP_006175288.1	WP_002965778.1	WP_002965778.1	12997.409699999998
1724	5	5	WP_002964460.1	WP_004689795.1	WP_004689795.1	WP_004689795.1	WP_004689795.1	12935.788952380952
430	5	5	WP_002964949.1	WP_004692121.1	WP_006173401.1	WP_002964949.1	WP_002964949.1	12928.11085
2834	5	5	WP_002966973.1	WP_004688734.1	WP_004688734.1	WP_004688734.1	WP_006192572.1	12761.612050000002
268	5	5	WP_002964371.1	WP_002964371.1	WP_002964371.1	WP_002964371.1	WP_002964371.1	12748.449093750001
610	5	5	WP_002965606.1	WP_004690406.1	WP_002965606.1	WP_015799963.1	WP_002965606.1	12739.030800000006
2622	5	5	WP_002969521.1	WP_004692029.1	WP_006273146.1	WP_041594676.1	WP_006191173.1	12691.90857777778
295	5	5	WP_002964469.1	WP_004690957.1	WP_002964469.1	WP_002964469.1	WP_002964469.1	12638.8753
2287	5	5	WP_002964991.1	WP_004691092.1	WP_006014249.1	WP_015799756.1	WP_006014249.1	12616.803800000002
2226	5	5	WP_002967285.1	WP_004692228.1	WP_006016166.1	WP_006016166.1	WP_004692228.1	12612.04097647059
1996	5	5	WP_002963981.1	WP_004690769.1	WP_006174072.1	WP_015799585.1	WP_004690769.1	12589.646000000002
317	5	5	WP_002964545.1	WP_002964545.1	WP_002964545.1	WP_002964545.1	WP_002964545.1	12461.177385714285
917	5	5	WP_002967161.1	WP_002967161.1	WP_002967161.1	WP_002967161.1	WP_002967161.1	12457.55430689655
1390	5	5	WP_002967379.1	WP_004687034.1	WP_006175133.1	WP_004687034.1	WP_004687034.1	12428.450433333333
688	5	5	WP_002965908.1	WP_002965908.1	WP_002965908.1	WP_015799906.1	WP_002965908.1	12426.312594444442
1873	5	5	WP_002965598.1	WP_004690411.1	WP_006175123.1	WP_002965598.1	WP_004690411.1	12375.929505882354
1608	5	5	WP_002966451.1	WP_006133613.1	WP_004688834.1	WP_012783791.1	WP_004688834.1	12338.493325
2043	5	5	WP_002964338.1	WP_006253145.1	WP_002964338.1	WP_002964338.1	WP_004690913.1	12207.935778571426
871	5	5	WP_002966682.1	WP_002966682.1	WP_002966682.1	WP_002966682.1	WP_002966682.1	12032.265159999999
258	5	5	WP_002964353.1	WP_002964353.1	WP_002964353.1	WP_002964353.1	WP_002964353.1	11990.882127777777
734	5	5	WP_002966125.1	WP_012219744.1	WP_006162051.1	WP_002966125.1	WP_002966125.1	11977.636955555556
577	5	5	WP_002965427.1	WP_002965427.1	WP_002965427.1	WP_002965427.1	WP_002965427.1	11923.271724242424
902	5	5	WP_002966997.1	WP_004692109.1	WP_006173436.1	WP_002966997.1	WP_002966997.1	11869.688
2379	5	5	WP_002970959.1	WP_006133154.1	WP_002970959.1	WP_002970959.1	WP_006133154.1	11685.568183333331
1451	5	5	WP_233274592.1	WP_004687586.1	WP_004687586.1	WP_004687586.1	WP_004687586.1	11645.214831578947
1598	5	5	WP_002964899.1	WP_004688733.1	WP_004688733.1	WP_004688733.1	WP_004688733.1	11575.587733333334
1294	5	5	WP_002964605.1	WP_004684052.1	WP_006174502.1	WP_004684052.1	WP_004684052.1	11556.308842105262
1762	5	5	WP_002966393.1	WP_004690018.1	WP_006175785.1	WP_002966393.1	WP_004690018.1	11500.01526551724
2552	5	5	WP_002964558.1	WP_006132795.1	WP_006174480.1	WP_002964558.1	WP_006190625.1	11494.2969375
244	5	5	WP_002964319.1	WP_002964319.1	WP_002964319.1	WP_002964319.1	WP_002964319.1	11479.158331818182
764	5	5	WP_002966273.1	WP_002966273.1	WP_002966273.1	WP_002966273.1	WP_002966273.1	11443.219705882353
2396	5	5	WP_002971239.1	WP_006133812.1	WP_002971239.1	WP_002971239.1	WP_006133812.1	11406.471599999999
113	5	5	WP_002963851.1	WP_002963851.1	WP_002963851.1	WP_002963851.1	WP_002963851.1	11366.917015000003
1011	5	5	WP_002966422.1	WP_002968269.1	WP_002968269.1	WP_002968269.1	WP_002968269.1	11300.933363999999
590	5	5	WP_002965479.1	WP_002965479.1	WP_002965479.1	WP_002965479.1	WP_002965479.1	11257.738911764707
2549	5	5	WP_002964539.1	WP_004690989.1	WP_006174465.1	WP_004689823.1	WP_006190601.1	11238.335617647059
1341	5	5	WP_002968964.1	WP_004684950.1	WP_004684950.1	WP_004684950.1	WP_004684950.1	11232.397896296296
2032	5	5	WP_002966843.1	WP_004690885.1	WP_002964262.1	WP_002964262.1	WP_004690885.1	11179.948073076925
1763	5	5	WP_002966373.1	WP_004690027.1	WP_002966373.1	WP_002966373.1	WP_004690027.1	11157.84874375
2191	5	5	WP_002963626.1	WP_004691966.1	WP_006160719.1	WP_012783888.1	WP_004691966.1	11062.407855999998
2376	5	5	WP_002970923.1	WP_006133082.1	WP_002970923.1	WP_002970923.1	WP_006133082.1	11061.000479999999
578	5	5	WP_002965429.1	WP_002965429.1	WP_002965429.1	WP_002965429.1	WP_002965429.1	11013.10610909091
2193	5	5	WP_002963608.1	WP_004691968.1	WP_002963608.1	WP_002963608.1	WP_004691968.1	10980.481110000002
2689	5	5	WP_002970522.1	WP_004690035.1	WP_004688862.1	WP_004688862.1	WP_006191722.1	10975.827084848486
1922	5	5	WP_002963476.1	WP_004690548.1	WP_002963476.1	WP_002963476.1	WP_004690548.1	10960.073319047618
603	5	5	WP_002965589.1	WP_002965589.1	WP_002965589.1	WP_002965589.1	WP_002965589.1	10878.674184210526
1947	5	5	WP_002963652.1	WP_006133229.1	WP_006173837.1	WP_004683167.1	WP_004690628.1	10806.907075000001
1050	5	5	WP_002969233.1	WP_002969233.1	WP_002969233.1	WP_002969233.1	WP_002969233.1	10747.80493333333
1455	5	5	WP_002967146.1	WP_004692675.1	WP_004687615.1	WP_004687615.1	WP_004687615.1	10669.975314285713
1336	5	5	WP_002965491.1	WP_004684720.1	WP_004684720.1	WP_004684720.1	WP_004684720.1	10667.373925
2457	5	5	WP_002968720.1	WP_004690683.1	WP_006173946.1	WP_015799547.1	WP_006189993.1	10626.594225
2331	5	5	WP_002966425.1	WP_004690007.1	WP_002966425.1	WP_002966425.1	WP_006073294.1	10604.243452941175
1549	5	5	WP_002964144.1	WP_004688347.1	WP_004688347.1	WP_004688347.1	WP_004688347.1	10556.317058333332
2258	5	5	WP_002969616.1	WP_004692802.1	WP_006161559.1	WP_002969616.1	WP_004692802.1	10517.786857142857
93	5	5	WP_002963805.1	WP_002963805.1	WP_002963805.1	WP_002963805.1	WP_002963805.1	10429.093381818184
1941	5	5	WP_002963634.1	WP_004690619.1	WP_004690619.1	WP_004690619.1	WP_004690619.1	10425.342485
